Nutrients,Units,F 18-22 (Cut),M 18-22 (Cut),F 18-22 (Bulk),M 18-22 (Bulk)
Energy,kcal,2100,2550,2750,3300
Protein,g,160,210,130,170
"Fiber, total dietary",g,30,35,40,45
"Calcium, Ca",mg,1000,1000,1000,1000
"Carbohydrate, by difference",g,210,255,275,330
"Iron, Fe",mg,18,8,18,8
"Magnesium, Mg",mg,310,400,320,420
"Phosphorus, P",mg,700,700,700,700
"Potassium, K",mg,4700,4700,4700,4700
"Vitamin A, RAE",mcg,700,900,700,900
Vitamin B-12,mcg,2.4,2.4,2.4,2.4
Vitamin B-6,mg,1.3,1.3,1.3,1.3
"Vitamin C, total ascorbic acid",mg,75,90,500,750
Vitamin E (alpha-tocopherol),mg,15,15,40,40
Vitamin K (phylloquinone),mcg,90,120,90,120
"Zinc, Zn",mg,8,11,8,11
Total lipid (fat),g,52.5,65,55,75
